Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"McCook County, South Dakota",5548,29020,521,0.09,McCook County,South Dakota
"McPherson County, South Dakota",2297,28559,304,0.13,McPherson County,South Dakota
"Marshall County, South Dakota",4891,32472,406,0.08,Marshall County,South Dakota
"Meade County, South Dakota",27717,28809,1847,0.07,Meade County,South Dakota
"Mellette County, South Dakota",2052,13784,1042,0.51,Mellette County,South Dakota
"Miner County, South Dakota",2211,28381,148,0.07,Miner County,South Dakota
"Minnehaha County, South Dakota",188674,31716,18246,0.1,Minnehaha County,South Dakota
"Moody County, South Dakota",6507,31300,726,0.11,Moody County,South Dakota
"Oglala Lakota County, South Dakota",14335,10388,6569,0.46,Oglala Lakota County,South Dakota
"Pennington County, South Dakota",110685,31874,14833,0.13,Pennington County,South Dakota
"Perkins County, South Dakota",2897,33678,261,0.09,Perkins County,South Dakota
"Potter County, South Dakota",2315,32379,167,0.07,Potter County,South Dakota
"Roberts County, South Dakota",10287,26243,2027,0.2,Roberts County,South Dakota
"Sanborn County, South Dakota",2379,32745,205,0.09,Sanborn County,South Dakota
"Spink County, South Dakota",6483,35393,627,0.1,Spink County,South Dakota
"Stanley County, South Dakota",3017,42838,140,0.05,Stanley County,South Dakota
"Sully County, South Dakota",1305,39226,103,0.08,Sully County,South Dakota
"Todd County, South Dakota",10195,10739,5584,0.55,Todd County,South Dakota
"Tripp County, South Dakota",5458,27036,1037,0.19,Tripp County,South Dakota
"Turner County, South Dakota",8300,30677,886,0.11,Turner County,South Dakota
"Union County, South Dakota",15368,42411,1305,0.08,Union County,South Dakota
"Walworth County, South Dakota",5457,32563,519,0.1,Walworth County,South Dakota
"Yankton County, South Dakota",22717,31772,2372,0.1,Yankton County,South Dakota
"Ziebach County, South Dakota",2791,16555,1181,0.42,Ziebach County,South Dakota
"Anderson County, Tennessee",76061,28455,12481,0.16,Anderson County,Tennessee
"Bedford County, Tennessee",48292,24864,6818,0.14,Bedford County,Tennessee
"Benton County, Tennessee",16140,22636,3122,0.19,Benton County,Tennessee
"Bledsoe County, Tennessee",14836,21700,3162,0.21,Bledsoe County,Tennessee
"Blount County, Tennessee",129927,30548,14179,0.11,Blount County,Tennessee
"Bradley County, Tennessee",105749,26655,16333,0.15,Bradley County,Tennessee
"Campbell County, Tennessee",39797,24212,8158,0.2,Campbell County,Tennessee
"Cannon County, Tennessee",14178,26435,2216,0.16,Cannon County,Tennessee
"Carroll County, Tennessee",27886,22394,5009,0.18,Carroll County,Tennessee
"Carter County, Tennessee",56433,23205,12079,0.21,Carter County,Tennessee
"Cheatham County, Tennessee",40181,27893,4190,0.1,Cheatham County,Tennessee
"Chester County, Tennessee",17190,22629,2524,0.15,Chester County,Tennessee
"Claiborne County, Tennessee",31732,21566,6825,0.22,Claiborne County,Tennessee
"Clay County, Tennessee",7654,18983,1969,0.26,Clay County,Tennessee
"Cocke County, Tennessee",35552,21867,8242,0.23,Cocke County,Tennessee
"Coffee County, Tennessee",55209,26557,7613,0.14,Coffee County,Tennessee
"Crockett County, Tennessee",14399,23771,2524,0.18,Crockett County,Tennessee
"Cumberland County, Tennessee",59216,25832,8020,0.14,Cumberland County,Tennessee
"Davidson County, Tennessee",687488,36440,99119,0.14,Davidson County,Tennessee
"Decatur County, Tennessee",11686,23857,2016,0.17,Decatur County,Tennessee
"DeKalb County, Tennessee",19847,25399,3564,0.18,DeKalb County,Tennessee
"Dickson County, Tennessee",52680,27115,7064,0.13,Dickson County,Tennessee
"Dyer County, Tennessee",37416,27710,6788,0.18,Dyer County,Tennessee
"Fayette County, Tennessee",40164,33383,5327,0.13,Fayette County,Tennessee
"Fentress County, Tennessee",18213,20093,3649,0.2,Fentress County,Tennessee
"Franklin County, Tennessee",41725,28317,5696,0.14,Franklin County,Tennessee
"Gibson County, Tennessee",49228,23211,7600,0.15,Gibson County,Tennessee
"Giles County, Tennessee",29285,25690,4186,0.14,Giles County,Tennessee
"Grainger County, Tennessee",23101,23595,4146,0.18,Grainger County,Tennessee
"Greene County, Tennessee",68834,25190,11119,0.16,Greene County,Tennessee
"Grundy County, Tennessee",13344,20592,2977,0.22,Grundy County,Tennessee
"Hamblen County, Tennessee",64132,23517,10828,0.17,Hamblen County,Tennessee
"Hamilton County, Tennessee",360919,32839,44952,0.12,Hamilton County,Tennessee
"Hancock County, Tennessee",6587,23728,1814,0.28,Hancock County,Tennessee
"Hardeman County, Tennessee",25443,18172,3816,0.15,Hardeman County,Tennessee
"Hardin County, Tennessee",25715,24243,5075,0.2,Hardin County,Tennessee
"Hawkins County, Tennessee",56611,24695,10621,0.19,Hawkins County,Tennessee
"Haywood County, Tennessee",17623,21839,3267,0.19,Haywood County,Tennessee
"Henderson County, Tennessee",27977,22695,5183,0.19,Henderson County,Tennessee
"Henry County, Tennessee",32284,24124,6382,0.2,Henry County,Tennessee
"Hickman County, Tennessee",24813,22856,4308,0.17,Hickman County,Tennessee
"Houston County, Tennessee",8164,22360,1321,0.16,Houston County,Tennessee
"Humphreys County, Tennessee",18435,25428,2806,0.15,Humphreys County,Tennessee
"Jackson County, Tennessee",11682,21037,2196,0.19,Jackson County,Tennessee
"Jefferson County, Tennessee",53679,25159,6822,0.13,Jefferson County,Tennessee
"Johnson County, Tennessee",17753,22107,3892,0.22,Johnson County,Tennessee
"Knox County, Tennessee",461104,33229,65448,0.14,Knox County,Tennessee
"Lake County, Tennessee",7401,15732,1315,0.18,Lake County,Tennessee
"Lauderdale County, Tennessee",25989,18515,4888,0.19,Lauderdale County,Tennessee
"Lawrence County, Tennessee",43390,21720,7250,0.17,Lawrence County,Tennessee
"Lewis County, Tennessee",12027,21516,2295,0.19,Lewis County,Tennessee
"Lincoln County, Tennessee",33924,26965,4919,0.15,Lincoln County,Tennessee
"Loudon County, Tennessee",52340,31478,5845,0.11,Loudon County,Tennessee
"McMinn County, Tennessee",53053,23885,9937,0.19,McMinn County,Tennessee
"McNairy County, Tennessee",25844,20934,4783,0.19,McNairy County,Tennessee
"Macon County, Tennessee",23842,22527,4054,0.17,Macon County,Tennessee
"Madison County, Tennessee",97625,26722,17412,0.18,Madison County,Tennessee
"Marion County, Tennessee",28538,25467,4332,0.15,Marion County,Tennessee
"Marshall County, Tennessee",32965,25410,4531,0.14,Marshall County,Tennessee
"Maury County, Tennessee",91976,28970,9146,0.1,Maury County,Tennessee
"Meigs County, Tennessee",12104,24525,2006,0.17,Meigs County,Tennessee
"Monroe County, Tennessee",46064,23207,8326,0.18,Monroe County,Tennessee
"Montgomery County, Tennessee",200180,26923,26060,0.13,Montgomery County,Tennessee
"Moore County, Tennessee",6378,30658,484,0.08,Moore County,Tennessee
"Morgan County, Tennessee",21545,20204,4232,0.2,Morgan County,Tennessee
"Obion County, Tennessee",30365,23375,6267,0.21,Obion County,Tennessee
"Overton County, Tennessee",22068,21808,3736,0.17,Overton County,Tennessee
"Perry County, Tennessee",7962,27970,2099,0.26,Perry County,Tennessee
"Pickett County, Tennessee",5079,24907,1001,0.2,Pickett County,Tennessee
"Polk County, Tennessee",16814,25405,2473,0.15,Polk County,Tennessee
"Putnam County, Tennessee",77447,24946,14041,0.18,Putnam County,Tennessee
"Rhea County, Tennessee",32719,22336,6122,0.19,Rhea County,Tennessee
"Roane County, Tennessee",53075,30209,7237,0.14,Roane County,Tennessee
"Robertson County, Tennessee",70280,29524,7983,0.11,Robertson County,Tennessee
"Rutherford County, Tennessee",315815,30159,34439,0.11,Rutherford County,Tennessee
"Scott County, Tennessee",21969,20849,4687,0.21,Scott County,Tennessee
"Sequatchie County, Tennessee",14816,23050,2874,0.19,Sequatchie County,Tennessee
"Sevier County, Tennessee",97068,25283,13078,0.13,Sevier County,Tennessee
"Shelby County, Tennessee",936374,30104,177675,0.19,Shelby County,Tennessee
"Smith County, Tennessee",19740,28797,3482,0.18,Smith County,Tennessee
"Stewart County, Tennessee",13427,24113,1821,0.14,Stewart County,Tennessee
"Sullivan County, Tennessee",157050,28429,24615,0.16,Sullivan County,Tennessee
"Sumner County, Tennessee",183437,33851,16277,0.09,Sumner County,Tennessee
"Tipton County, Tennessee",61447,28457,7503,0.12,Tipton County,Tennessee
"Trousdale County, Tennessee",10231,24795,947,0.09,Trousdale County,Tennessee
"Unicoi County, Tennessee",17811,23455,3142,0.18,Unicoi County,Tennessee
"Union County, Tennessee",19488,24010,4216,0.22,Union County,Tennessee
"Van Buren County, Tennessee",5760,20634,947,0.16,Van Buren County,Tennessee
"Warren County, Tennessee",40702,22802,8714,0.21,Warren County,Tennessee
"Washington County, Tennessee",127805,29656,18955,0.15,Washington County,Tennessee
"Wayne County, Tennessee",16693,20689,2635,0.16,Wayne County,Tennessee
"Weakley County, Tennessee",33510,22755,6264,0.19,Weakley County,Tennessee
"White County, Tennessee",26800,22040,4280,0.16,White County,Tennessee
"Williamson County, Tennessee",225389,52702,9776,0.04,Williamson County,Tennessee
"Wilson County, Tennessee",136666,34575,10383,0.08,Wilson County,Tennessee
"Anderson County, Texas",57810,17280,6598,0.11,Anderson County,Texas
"Andrews County, Texas",18036,30673,1647,0.09,Andrews County,Texas
"Angelina County, Texas",87322,23147,15026,0.17,Angelina County,Texas
"Aransas County, Texas",24462,30863,5127,0.21,Aransas County,Texas
"Archer County, Texas",8716,34617,1033,0.12,Archer County,Texas
"Armstrong County, Texas",1973,31749,174,0.09,Armstrong County,Texas
"Atascosa County, Texas",49528,23890,7196,0.15,Atascosa County,Texas
"Austin County, Texas",29764,30219,3583,0.12,Austin County,Texas
"Bailey County, Texas",7100,21945,590,0.08,Bailey County,Texas
"Bandera County, Texas",22215,29561,3455,0.16,Bandera County,Texas
"Bastrop County, Texas",84522,27773,9230,0.11,Bastrop County,Texas
"Baylor County, Texas",3577,22987,406,0.11,Baylor County,Texas
"Bee County, Texas",32611,18340,5120,0.16,Bee County,Texas
"Bell County, Texas",348574,26677,46752,0.13,Bell County,Texas
"Bexar County, Texas",1952843,27834,301755,0.15,Bexar County,Texas
"Blanco County, Texas",11478,37998,1015,0.09,Blanco County,Texas
"Borden County, Texas",613,34028,16,0.03,Borden County,Texas
"Bosque County, Texas",18296,26636,2823,0.15,Bosque County,Texas
"Bowie County, Texas",93373,27095,14534,0.16,Bowie County,Texas
"Brazoria County, Texas",360677,34561,30317,0.08,Brazoria County,Texas
"Brazos County, Texas",222981,27632,50496,0.23,Brazos County,Texas
"Brewster County, Texas",9231,28915,1254,0.14,Brewster County,Texas
"Briscoe County, Texas",1457,23933,233,0.16,Briscoe County,Texas
"Brooks County, Texas",7141,14523,2724,0.38,Brooks County,Texas
"Brown County, Texas",37855,27463,4545,0.12,Brown County,Texas
"Burleson County, Texas",18058,30086,2095,0.12,Burleson County,Texas
"Burnet County, Texas",46530,30980,4661,0.1,Burnet County,Texas
"Caldwell County, Texas",42144,25086,7541,0.18,Caldwell County,Texas
"Calhoun County, Texas",21668,27268,2923,0.13,Calhoun County,Texas
"Callahan County, Texas",13856,26051,1462,0.11,Callahan County,Texas
"Cameron County, Texas",421666,17430,120764,0.29,Cameron County,Texas
"Camp County, Texas",12878,22449,2372,0.18,Camp County,Texas
"Carson County, Texas",6009,34708,493,0.08,Carson County,Texas
"Cass County, Texas",30059,23075,5455,0.18,Cass County,Texas
"Castro County, Texas",7673,21884,1038,0.14,Castro County,Texas
"Chambers County, Texas",41305,35916,4960,0.12,Chambers County,Texas
"Cherokee County, Texas",52118,22391,8013,0.15,Cherokee County,Texas
"Childress County, Texas",7253,21233,799,0.11,Childress County,Texas
"Clay County, Texas",10403,29159,1259,0.12,Clay County,Texas
"Cochran County, Texas",2887,21463,730,0.25,Cochran County,Texas
"Coke County, Texas",3303,25285,398,0.12,Coke County,Texas
"Coleman County, Texas",8334,27752,1135,0.14,Coleman County,Texas
"Collin County, Texas",973977,44548,60908,0.06,Collin County,Texas
"Collingsworth County, Texas",2969,25681,493,0.17,Collingsworth County,Texas
"Colorado County, Texas",21224,29552,2080,0.1,Colorado County,Texas
"Comal County, Texas",141642,38991,10712,0.08,Comal County,Texas
"Comanche County, Texas",13529,26728,1485,0.11,Comanche County,Texas
"Concho County, Texas",3266,21420,268,0.08,Concho County,Texas
"Cooke County, Texas",40041,30704,5024,0.13,Cooke County,Texas
"Coryell County, Texas",75280,22400,7829,0.1,Coryell County,Texas
"Cottle County, Texas",1642,19797,505,0.31,Cottle County,Texas
"Crane County, Texas",4802,27893,379,0.08,Crane County,Texas
"Crockett County, Texas",3484,26178,637,0.18,Crockett County,Texas
"Crosby County, Texas",5836,19443,1189,0.2,Crosby County,Texas
"Culberson County, Texas",2214,15109,653,0.29,Culberson County,Texas
"Dallam County, Texas",7304,27491,878,0.12,Dallam County,Texas
"Dallas County, Texas",2606868,32653,395812,0.15,Dallas County,Texas
"Dawson County, Texas",12813,20084,2840,0.22,Dawson County,Texas
"Deaf Smith County, Texas",18736,21616,2995,0.16,Deaf Smith County,Texas
"Delta County, Texas",5249,27667,1039,0.2,Delta County,Texas
"Denton County, Texas",833822,41153,62681,0.08,Denton County,Texas
"DeWitt County, Texas",20340,28910,2946,0.14,DeWitt County,Texas
"Dickens County, Texas",2203,25025,410,0.19,Dickens County,Texas
"Dimmit County, Texas",10438,16925,3477,0.33,Dimmit County,Texas
"Donley County, Texas",3342,25534,447,0.13,Donley County,Texas
"Duval County, Texas",11268,17637,2426,0.22,Duval County,Texas
"Eastland County, Texas",18273,24548,3168,0.17,Eastland County,Texas
"Ector County, Texas",160579,28954,18899,0.12,Ector County,Texas
"Edwards County, Texas",1918,24689,165,0.09,Edwards County,Texas
"Ellis County, Texas",173772,32571,15026,0.09,Ellis County,Texas
"El Paso County, Texas",836062,21683,165719,0.2,El Paso County,Texas
"Erath County, Texas",41841,27639,7305,0.17,Erath County,Texas
"Falls County, Texas",17272,18745,4113,0.24,Falls County,Texas
"Fannin County, Texas",34537,27112,3796,0.11,Fannin County,Texas
"Fayette County, Texas",25141,30170,2929,0.12,Fayette County,Texas
"Fisher County, Texas",3856,28750,575,0.15,Fisher County,Texas
"Floyd County, Texas",5803,23617,847,0.15,Floyd County,Texas
"Foard County, Texas",1275,27573,129,0.1,Foard County,Texas
"Fort Bend County, Texas",765394,39994,56251,0.07,Fort Bend County,Texas
"Franklin County, Texas",10716,28789,988,0.09,Franklin County,Texas
"Freestone County, Texas",19714,24621,3260,0.17,Freestone County,Texas
"Frio County, Texas",19871,19256,3618,0.18,Frio County,Texas
"Gaines County, Texas",20706,23533,3143,0.15,Gaines County,Texas
"Galveston County, Texas",332885,36819,40485,0.12,Galveston County,Texas
"Garza County, Texas",6070,19997,829,0.14,Garza County,Texas
"Gillespie County, Texas",26459,34077,2476,0.09,Gillespie County,Texas
"Glasscock County, Texas",1510,31830,177,0.12,Glasscock County,Texas
"Goliad County, Texas",7565,29855,980,0.13,Goliad County,Texas
"Gonzales County, Texas",20731,27407,2886,0.14,Gonzales County,Texas
"Gray County, Texas",22410,24686,3412,0.15,Gray County,Texas
"Grayson County, Texas",131014,28011,16775,0.13,Grayson County,Texas
"Gregg County, Texas",123443,26535,21494,0.17,Gregg County,Texas
"Grimes County, Texas",27984,25638,4134,0.15,Grimes County,Texas
"Guadalupe County, Texas",158966,31842,14297,0.09,Guadalupe County,Texas
"Hale County, Texas",33826,20986,5046,0.15,Hale County,Texas
"Hall County, Texas",3048,21907,685,0.22,Hall County,Texas
"Hamilton County, Texas",8332,26930,1402,0.17,Hamilton County,Texas
"Hansford County, Texas",5520,20410,947,0.17,Hansford County,Texas
"Hardeman County, Texas",3945,24078,544,0.14,Hardeman County,Texas
"Hardin County, Texas",56765,30399,6768,0.12,Hardin County,Texas
"Harris County, Texas",4646630,32765,722792,0.16,Harris County,Texas
"Harrison County, Texas",66580,27086,11290,0.17,Harrison County,Texas
"Hartley County, Texas",5669,20563,251,0.04,Hartley County,Texas
"Haskell County, Texas",5726,20394,1072,0.19,Haskell County,Texas
"Hays County, Texas",213366,32118,28214,0.13,Hays County,Texas
"Hemphill County, Texas",3994,31530,326,0.08,Hemphill County,Texas
"Henderson County, Texas",81070,26121,13599,0.17,Henderson County,Texas
"Hidalgo County, Texas",855176,17175,250879,0.29,Hidalgo County,Texas
"Hill County, Texas",35689,26370,4383,0.12,Hill County,Texas
"Hockley County, Texas",23064,23604,3662,0.16,Hockley County,Texas
"Hood County, Texas",58318,35606,5615,0.1,Hood County,Texas
"Hopkins County, Texas",36486,26821,5027,0.14,Hopkins County,Texas
"Houston County, Texas",22954,19129,4308,0.19,Houston County,Texas
"Howard County, Texas",36349,24547,5470,0.15,Howard County,Texas
"Hudspeth County, Texas",4415,14239,886,0.2,Hudspeth County,Texas
"Hunt County, Texas",94162,25926,14681,0.16,Hunt County,Texas
"Hutchinson County, Texas",21344,24434,3083,0.14,Hutchinson County,Texas
"Irion County, Texas",1620,28487,241,0.15,Irion County,Texas
"Jack County, Texas",8852,24956,1255,0.14,Jack County,Texas
"Jackson County, Texas",14816,27051,1942,0.13,Jackson County,Texas
"Jasper County, Texas",35506,25269,6371,0.18,Jasper County,Texas
"Jeff Davis County, Texas",2241,26531,85,0.04,Jeff Davis County,Texas
"Jefferson County, Texas",254340,27094,41948,0.16,Jefferson County,Texas
"Jim Hogg County, Texas",5231,16864,1576,0.3,Jim Hogg County,Texas
"Jim Wells County, Texas",40972,21510,9388,0.23,Jim Wells County,Texas
"Johnson County, Texas",167212,28579,16799,0.1,Johnson County,Texas
"Jones County, Texas",19943,18081,1782,0.09,Jones County,Texas
"Karnes County, Texas",15545,27612,2199,0.14,Karnes County,Texas
"Kaufman County, Texas",123804,28634,13864,0.11,Kaufman County,Texas
"Kendall County, Texas",43769,45866,2411,0.06,Kendall County,Texas
"Kenedy County, Texas",568,15211,31,0.05,Kenedy County,Texas
"Kent County, Texas",647,30543,87,0.13,Kent County,Texas
"Kerr County, Texas",51843,32988,5880,0.11,Kerr County,Texas
"Kimble County, Texas",4373,30099,964,0.22,Kimble County,Texas
"King County, Texas",237,26199,25,0.11,King County,Texas
"Kinney County, Texas",3659,23934,667,0.18,Kinney County,Texas
"Kleberg County, Texas",30974,22646,7904,0.26,Kleberg County,Texas
"Knox County, Texas",3705,23146,535,0.14,Knox County,Texas
"Lamar County, Texas",49611,25038,8530,0.17,Lamar County,Texas
"Lamb County, Texas",13123,22337,2453,0.19,Lamb County,Texas
"Lampasas County, Texas",20862,29412,2280,0.11,Lampasas County,Texas
"La Salle County, Texas",7416,21110,1098,0.15,La Salle County,Texas
"Lavaca County, Texas",20021,32188,2083,0.1,Lavaca County,Texas
"Lee County, Texas",17058,27227,2040,0.12,Lee County,Texas
"Leon County, Texas",17225,30129,3023,0.18,Leon County,Texas
"Liberty County, Texas",83702,23461,10708,0.13,Liberty County,Texas
"Limestone County, Texas",23417,22595,4388,0.19,Limestone County,Texas
"Lipscomb County, Texas",3398,28131,428,0.13,Lipscomb County,Texas
"Live Oak County, Texas",12139,25370,1837,0.15,Live Oak County,Texas
"Llano County, Texas",21047,37050,2211,0.11,Llano County,Texas
"Loving County, Texas",98,33624,15,0.15,Loving County,Texas
"Lubbock County, Texas",304808,27922,55155,0.18,Lubbock County,Texas
"Lynn County, Texas",5830,24917,1053,0.18,Lynn County,Texas
"McCulloch County, Texas",8057,24311,1326,0.16,McCulloch County,Texas
"McLennan County, Texas",251089,25703,46207,0.18,McLennan County,Texas
"McMullen County, Texas",774,31455,91,0.12,McMullen County,Texas
"Madison County, Texas",14197,20748,1319,0.09,Madison County,Texas
"Marion County, Texas",10017,27566,1901,0.19,Marion County,Texas
"Martin County, Texas",5649,30548,474,0.08,Martin County,Texas
"Mason County, Texas",4186,30388,447,0.11,Mason County,Texas
"Matagorda County, Texas",36774,25172,6884,0.19,Matagorda County,Texas
"Maverick County, Texas",58174,16779,15616,0.27,Maverick County,Texas
"Medina County, Texas",50057,27475,5372,0.11,Medina County,Texas
"Menard County, Texas",2119,25742,276,0.13,Menard County,Texas
"Midland County, Texas",168167,39248,15871,0.09,Midland County,Texas
"Milam County, Texas",24770,25714,3744,0.15,Milam County,Texas
"Mills County, Texas",4889,27374,734,0.15,Mills County,Texas
"Mitchell County, Texas",8523,21136,712,0.08,Mitchell County,Texas
"Montague County, Texas",19489,28096,2995,0.15,Montague County,Texas
"Montgomery County, Texas",571949,41211,52589,0.09,Montgomery County,Texas
"Moore County, Texas",21399,23001,2712,0.13,Moore County,Texas
"Morris County, Texas",12373,22971,2170,0.18,Morris County,Texas
"Motley County, Texas",1252,29071,101,0.08,Motley County,Texas
"Nacogdoches County, Texas",65339,23617,14803,0.23,Nacogdoches County,Texas
"Navarro County, Texas",48995,23786,8150,0.17,Navarro County,Texas
"Newton County, Texas",13914,21659,3357,0.24,Newton County,Texas
"Nolan County, Texas",14904,25094,2359,0.16,Nolan County,Texas
"Nueces County, Texas",361540,27740,58539,0.16,Nueces County,Texas
"Ochiltree County, Texas",10131,23624,1522,0.15,Ochiltree County,Texas
"Oldham County, Texas",2094,26408,152,0.07,Oldham County,Texas
"Orange County, Texas",84069,30114,11029,0.13,Orange County,Texas
"Palo Pinto County, Texas",28540,25150,5097,0.18,Palo Pinto County,Texas
"Panola County, Texas",23327,26577,3353,0.14,Panola County,Texas
"Parker County, Texas",133811,35142,10675,0.08,Parker County,Texas
"Parmer County, Texas",9718,23859,1440,0.15,Parmer County,Texas
"Pecos County, Texas",15815,21120,2041,0.13,Pecos County,Texas
"Polk County, Texas",48913,25164,8238,0.17,Polk County,Texas
"Potter County, Texas",119674,22568,22979,0.19,Potter County,Texas
"Presidio County, Texas",6975,15337,2717,0.39,Presidio County,Texas
"Rains County, Texas",11766,27938,1510,0.13,Rains County,Texas
"Randall County, Texas",134026,34293,11104,0.08,Randall County,Texas
"Reagan County, Texas",3766,25600,357,0.09,Reagan County,Texas
"Real County, Texas",3408,18235,780,0.23,Real County,Texas
"Red River County, Texas",12171,22689,2352,0.19,Red River County,Texas
"Reeves County, Texas",15492,20020,2033,0.13,Reeves County,Texas
"Refugio County, Texas",7145,24248,1148,0.16,Refugio County,Texas
"Roberts County, Texas",805,30955,93,0.12,Roberts County,Texas
"Robertson County, Texas",16990,26033,2356,0.14,Robertson County,Texas
"Rockwall County, Texas",97175,42346,4579,0.05,Rockwall County,Texas
"Runnels County, Texas",10277,24402,1518,0.15,Runnels County,Texas
"Rusk County, Texas",53755,26658,5769,0.11,Rusk County,Texas
"Sabine County, Texas",10471,24870,2076,0.2,Sabine County,Texas
"San Augustine County, Texas",8286,23683,1995,0.24,San Augustine County,Texas
"San Jacinto County, Texas",28180,23312,4238,0.15,San Jacinto County,Texas
"San Patricio County, Texas",67008,26054,10516,0.16,San Patricio County,Texas
"San Saba County, Texas",5991,24961,742,0.12,San Saba County,Texas
"Schleicher County, Texas",2983,26560,467,0.16,Schleicher County,Texas
"Scurry County, Texas",17096,24552,2173,0.13,Scurry County,Texas
"Shackelford County, Texas",3296,24852,436,0.13,Shackelford County,Texas
"Shelby County, Texas",25349,21950,5685,0.22,Shelby County,Texas
"Sherman County, Texas",3059,30467,448,0.15,Sherman County,Texas
"Smith County, Texas",227449,28483,34116,0.15,Smith County,Texas
"Somervell County, Texas",8860,29449,2017,0.23,Somervell County,Texas
"Starr County, Texas",64078,14179,22015,0.34,Starr County,Texas
"Stephens County, Texas",9364,25015,1835,0.2,Stephens County,Texas
"Sterling County, Texas",1231,28757,29,0.02,Sterling County,Texas
"Stonewall County, Texas",1476,25638,169,0.11,Stonewall County,Texas
"Sutton County, Texas",3824,26904,531,0.14,Sutton County,Texas
"Swisher County, Texas",7432,19697,1706,0.23,Swisher County,Texas
"Tarrant County, Texas",2049770,33292,241703,0.12,Tarrant County,Texas
"Taylor County, Texas",136870,27162,19764,0.14,Taylor County,Texas
"Terrell County, Texas",896,25687,84,0.09,Terrell County,Texas
"Terry County, Texas",12528,20627,2208,0.18,Terry County,Texas
"Throckmorton County, Texas",1436,30463,241,0.17,Throckmorton County,Texas
"Titus County, Texas",32640,21730,5700,0.17,Titus County,Texas
"Tom Green County, Texas",117986,29505,15164,0.13,Tom Green County,Texas
"Travis County, Texas",1226805,43658,143785,0.12,Travis County,Texas
"Trinity County, Texas",14620,25026,2244,0.15,Trinity County,Texas
"Tyler County, Texas",21518,20249,3114,0.14,Tyler County,Texas
"Upshur County, Texas",41018,25285,6471,0.16,Upshur County,Texas
"Upton County, Texas",3659,25447,505,0.14,Upton County,Texas
"Uvalde County, Texas",26920,20329,4737,0.18,Uvalde County,Texas
"Val Verde County, Texas",48969,21370,9536,0.19,Val Verde County,Texas
"Van Zandt County, Texas",55103,27900,7377,0.13,Van Zandt County,Texas
"Victoria County, Texas",92109,29199,13620,0.15,Victoria County,Texas
"Walker County, Texas",72321,18544,12325,0.17,Walker County,Texas
"Waller County, Texas",51832,25401,7827,0.15,Waller County,Texas
"Ward County, Texas",11658,25931,1446,0.12,Ward County,Texas
"Washington County, Texas",35163,32625,3959,0.11,Washington County,Texas
"Webb County, Texas",273526,18466,74264,0.27,Webb County,Texas
"Wharton County, Texas",41577,25298,7212,0.17,Wharton County,Texas
"Wheeler County, Texas",5338,27093,965,0.18,Wheeler County,Texas
"Wichita County, Texas",131596,24872,19693,0.15,Wichita County,Texas
"Wilbarger County, Texas",12833,23696,2390,0.19,Wilbarger County,Texas
"Willacy County, Texas",21588,14888,5468,0.25,Willacy County,Texas
"Williamson County, Texas",547604,37242,34818,0.06,Williamson County,Texas
"Wilson County, Texas",49173,32312,4652,0.09,Wilson County,Texas
"Winkler County, Texas",7867,24467,1167,0.15,Winkler County,Texas
"Wise County, Texas",66290,29418,6983,0.11,Wise County,Texas
"Wood County, Texas",44366,29005,6257,0.14,Wood County,Texas
"Yoakum County, Texas",8631,24582,726,0.08,Yoakum County,Texas
"Young County, Texas",18036,27423,2183,0.12,Young County,Texas
"Zapata County, Texas",14304,20169,4888,0.34,Zapata County,Texas
"Zavala County, Texas",12039,13835,4011,0.33,Zavala County,Texas
"Beaver County, Utah",6517,23382,584,0.09,Beaver County,Utah
"Box Elder County, Utah",53946,24797,4220,0.08,Box Elder County,Utah
"Cache County, Utah",124165,23713,18616,0.15,Cache County,Utah
"Carbon County, Utah",20308,23862,3347,0.16,Carbon County,Utah
"Daggett County, Utah",613,29574,18,0.03,Daggett County,Utah
"Davis County, Utah",345767,31205,18571,0.05,Davis County,Utah
"Duchesne County, Utah",20148,24573,2696,0.13,Duchesne County,Utah
"Emery County, Utah",10117,23705,1169,0.12,Emery County,Utah
"Garfield County, Utah",4998,25247,791,0.16,Garfield County,Utah
"Grand County, Utah",9640,27431,860,0.09,Grand County,Utah
"Iron County, Utah",51213,22909,8622,0.17,Iron County,Utah
"Juab County, Utah",11301,22830,1405,0.12,Juab County,Utah
"Kane County, Utah",7484,26070,911,0.12,Kane County,Utah
"Millard County, Utah",12854,25225,1597,0.12,Millard County,Utah
"Morgan County, Utah",11664,31732,322,0.03,Morgan County,Utah
"Piute County, Utah",1866,19012,314,0.17,Piute County,Utah
"Rich County, Utah",2389,23464,296,0.12,Rich County,Utah
"Salt Lake County, Utah",1133646,33238,102809,0.09,Salt Lake County,Utah
"San Juan County, Utah",15302,18987,3716,0.24,San Juan County,Utah
"Sanpete County, Utah",29850,20056,4048,0.14,Sanpete County,Utah
"Sevier County, Utah",21280,23514,3118,0.15,Sevier County,Utah
"Summit County, Utah",41103,56575,2289,0.06,Summit County,Utah
"Tooele County, Utah",67397,25949,4150,0.06,Tooele County,Utah
"Uintah County, Utah",36084,25759,4479,0.12,Uintah County,Utah
"Utah County, Utah",605490,26215,62829,0.1,Utah County,Utah
"Wasatch County, Utah",31708,35641,1865,0.06,Wasatch County,Utah
"Washington County, Utah",165811,29010,19289,0.12,Washington County,Utah
